имя,фамилия,год рождения,место проживания,место работы,средняя зарплата в год,образование,судимости
Бакыт,Patel,1960,Москва,GreenFarm,35867,Неполное высшее,нету
Carlos,Соколов,1988,Бишкек,ТранспортСервис,56129,Бакалавр,нету
Ксения,Жолдошев,1964,Баку,Ресторан,83215,Магистр,нету
Андрей,Шаршеев,1950,Мехико,ГК Ромашка,21974,Среднее,есть
Ирина,Павлов,1958,Жалал-Абад,ТранспортСервис,47828,Неполное высшее,нету
Дарья,Smith,1952,Алматы,ИП Сидоров,56706,Бакалавр,нету
James,Калмурзаев,1980,Лондон,Школа №1,87044,Магистр,нету
Emma,Смирнов,1955,Москва,MegaCorp,86501,Доктор,нету
Wei,Мамытов,1955,Чолпон-Ата,Медцентр,56852,Бакалавр,нету
Каныкей,Семенов,1967,Бишкек,Медцентр,37671,Неполное высшее,нету
Ali,Орлов,1951,Санкт-Петербург,Нет места работы,62188,Бакалавр,нету
Michael,Титов,1972,Талас,Ресторан,31672,Среднее,нету
Айгерим,Воробьев,1966,Нью-Йорк,Фабрика,49867,Среднее специальное,нету
Марина,Абдыкадыров,1994,Чолпон-Ата,ИП Сидоров,62512,Бакалавр,нету
Николай,Nguyen,1972,Тбилиси,Global Tech,42005,Среднее специальное,нету
Сергей,Семенов,1963,Токио,ИП Сидоров,36846,Неполное высшее,нету
Сезим,Эргешов,1958,Стамбул,Компания А,25187,Неполное высшее,есть
Emma,Асанов,1969,Баку,Ферма,31672,Среднее,нету
Улан,Морозов,1993,Берлин,Ферма,52805,Бакалавр,нету
Mehmet,Lopez,1945,Кант,Компания А,46056,Среднее специальное,нету
Эрмек,Ali,1942,Жалал-Абад,Школа №1,43169,Среднее,нету
Данияр,Романов,1991,Ош,Нет места работы,79604,Магистр,нету
Егор,Garcia,1952,Пекин,ТранспортСервис,72579,Магистр,нету
Isabella,Султанов,2003,Ереван,Нет места работы,42274,Среднее,нету
Ирина,Эргешов,1953,Бишкек,Компания А,47020,Неполное высшее,нету
David,Кудрявцев,1961,Нарын,MegaCorp,44277,Среднее,нету
Андрей,Курманалиев,1945,Токтогул,Ресторан,34046,Среднее,нету
Кирилл,Михайлов,1998,Токтогул,Салон Красоты,39263,Среднее,нету
Ирина,Kim,2007,Кызыл-Кыя,Компания А,70361,Бакалавр,нету
Ali,Кудрявцев,1951,Кант,ООО Строй,67613,Бакалавр,нету
Дарья,Морозов,1949,Алматы,Ресторан,22549,Среднее,есть
Марина,Ниязов,1966,Пекин,IT Studio,68803,Бакалавр,нету
Светлана,Gonzalez,1953,Мехико,Университет,42546,Среднее,нету
Liu,Орлов,1991,Чолпон-Ата,GreenFarm,39426,Среднее,нету
Юлия,Martin,1953,Нью-Йорк,Фабрика,21360,Среднее,есть
Yuki,White,1985,Кант,Ферма,32350,Среднее,нету
Hassan,Thomas,2005,Москва,Ресторан,40615,Среднее,нету
William,Титов,1977,Чолпон-Ата,Нет места работы,44826,Среднее специальное,нету
Марина,Лебедев,1971,Токтогул,Нет места работы,25621,Неполное высшее,есть
Егор,Li,1952,Кант,Ресторан,39644,Неполное высшее,нету
Ксения,Нурматов,2003,Чолпон-Ата,IT Studio,40642,Среднее,нету
Анна,Сергеев,2004,Мехико,ООО Строй,55733,Бакалавр,нету
Егор,Воробьев,1963,Москва,Нет места работы,74714,Магистр,нету
Нурия,Сидоров,1962,Кант,Школа №1,78145,Магистр,нету
Ahmed,Rahman,1940,Алматы,Нет места работы,61573,Магистр,нету
Азамат,Сафонов,2007,Астана,IT Studio,41637,Среднее,нету
Нурия,White,2002,Нью-Йорк,Фабрика,42209,Среднее специальное,нету
Иван,Байгазиев,1978,Париж,Нет места работы,35233,Неполное высшее,нету
Wei,Сидоров,1958,Новосибирск,Нет места работы,61962,Магистр,нету
Lucas,Thomas,1986,Чолпон-Ата,ГК Ромашка,75042,Бакалавр,нету
Carlos,White,2007,Талас,Ресторан,42734,Неполное высшее,нету
Улан,Карабаев,1964,Ош,ГК Ромашка,62125,Бакалавр,нету
Aisha,Hernandez,1984,Жалал-Абад,Медцентр,24627,Среднее,есть
Светлана,Kim,1977,Ереван,ИП Сидоров,71020,Бакалавр,нету
Иван,Harris,1945,Чолпон-Ата,Нет места работы,38273,Неполное высшее,нету
David,Байгазиев,1940,Ош,Global Tech,43933,Неполное высшее,нету
Isabella,Федоров,1951,Париж,GreenFarm,47916,Неполное высшее,нету
Азамат,Кудрявцев,1944,Алматы,Ресторан,73218,Магистр,нету
Анна,Курманалиев,1978,Ереван,Компания А,46123,Неполное высшее,нету
Татьяна,Орлов,1972,Каракол,IT Studio,45641,Среднее специальное,нету
Fatima,Chen,1963,Казань,Global Tech,62329,Бакалавр,нету
Асель,Gonzalez,1985,Екатеринбург,Университет,36502,Среднее специальное,нету
Isabella,Кузнецов,1993,Нарын,ООО Строй,65691,Бакалавр,нету
Сезим,Романов,2009,Мадрид,нет места работы,0,Бакалавр,нету
Азамат,Лебедев,1990,Каракол,Global Tech,29320,Среднее специальное,есть
Андрей,Соколов,1947,Кант,ГК Ромашка,84696,Магистр,нету
Emma,Rodriguez,1982,Сеул,АО Техно,40183,Среднее,нету
Wei,Ершов,2003,Каракол,IT Studio,43349,Неполное высшее,нету
Алексей,Martinez,1965,Токтогул,Global Tech,31586,Среднее,нету
Дарья,Павлов,2000,Бишкек,Нет места работы,64574,Магистр,нету
Michael,Rodriguez,1963,Пекин,Университет,46987,Неполное высшее,нету
Ирина,Thomas,1958,Лондон,ООО Строй,32637,Среднее,нету
Carlos,Орлов,2000,Алматы,Нет места работы,39241,Неполное высшее,нету
Улан,Smith,1989,Париж,Медцентр,52278,Бакалавр,нету
Aisha,Гусев,1989,Бишкек,Университет,36663,Бакалавр,есть
Чыңгыз,Михайлов,1999,Мадрид,ТранспортСервис,63756,Бакалавр,нету
Hassan,Егоров,1984,Мадрид,Медцентр,60143,Бакалавр,нету
Emma,Ниязов,1998,Париж,IT Studio,87614,Магистр,нету
Егор,Rodriguez,1988,Алматы,Global Tech,70427,Бакалавр,нету
Yuki,Курманалиев,1956,Париж,Ресторан,34522,Неполное высшее,нету
Сергей,Беляев,1969,Токтогул,Компания А,70051,Бакалавр,нету
Эрмек,Павлов,1962,Нью-Йорк,ИП Сидоров,62853,Магистр,нету
Айбек,Семенов,1944,Сеул,Школа №1,74025,Бакалавр,нету
Гульзат,Павлов,1997,Казань,Ферма,33798,Среднее,нету
Maria,Бектуров,1968,Чолпон-Ата,Ферма,53688,Бакалавр,нету
Сергей,Зайцев,1966,Ош,Салон Красоты,77406,Магистр,нету
Максим,Ниязов,1963,Берлин,Нет места работы,56216,Бакалавр,нету
Дарья,Ali,2000,Астана,Медцентр,49625,Среднее специальное,нету
Maria,Anderson,1988,Сеул,IT Studio,21899,Среднее,есть
Mehmet,Сафонов,1946,Ереван,IT Studio,33433,Среднее специальное,есть
Айбек,Абдыкадыров,1985,Нарын,MegaCorp,77609,Магистр,нету
Wei,Gonzalez,1979,Казань,GreenFarm,63036,Бакалавр,нету
Бакыт,Кузнецов,1944,Москва,АО Техно,38394,Среднее специальное,нету
Juan,Кадыров,1947,Кызыл-Кыя,АО Техно,41897,Среднее специальное,нету
